메타항목,메타 정의
카테고리,"클래스 및 라벨 관련 정보를 포함하며, 데이터의 분류와 태깅 정보를 관리합니다. 예: 제품 분류, 객체 태그"
식별자,"다양한 식별 번호를 포함하여 데이터 또는 객체를 고유하게 구분합니다. 예: UUID, 객체 ID"
이름,"라벨 또는 객체의 이름을 나타내며, 데이터의 명칭 정보를 제공합니다. 예: ""사과"", ""차량 A"""
이미지,"이미지와 관련된 속성 및 정보를 관리하며, 데이터의 시각적 표현을 나타냅니다. 예: 이미지 파일 경로, 해상도"
어노테이션,"어노테이션과 관련된 정보를 제공하며, 데이터의 영역이나 속성을 설명합니다. 예: 객체의 레이블링 정보, 다각형 마스킹 데이터"
바운딩박스,"바운딩 박스 정보와 좌표를 포함하며, 이미지 내 객체의 위치를 정의합니다. 예: (x, y, width, height) 좌표값"
속성,"객체 또는 라벨에 대한 세부 속성을 포함하며, 추가적인 정보나 특성을 설명합니다. 예: 색상, 크기, 재질"
포인트,"객체나 이미지 내의 특정 지점을 나타내는 포인트 정보를 포함합니다. 예: 키포인트 좌표, 포즈 추정"
위치,"위치 및 좌표와 관련된 정보를 관리하며, 데이터의 지리적 위치나 공간적 관계를 나타냅니다. 예: GPS 좌표, 위치 데이터"
경로,"파일 또는 데이터의 저장 경로를 나타내며, 데이터의 접근 및 관리를 지원합니다. 예: ""/data/images/123.jpg"""
경로_정보,"파일 및 데이터 경로와 관련된 추가 정보를 제공합니다. 예: 경로 속성, 디렉토리 구조"
미디어,"미디어(이미지, 비디오 등)와 관련된 정보를 포함하며, 멀티미디어 데이터를 관리합니다. 예: 포맷, 프레임 속성"
라이센스,"라이센스 및 저작권 정보를 포함하여 데이터의 법적 사용 및 제한을 관리합니다. 예: CC BY 4.0, 상업적 사용 제한"
수집정보,"데이터 수집과 관련된 정보를 포함하며, 데이터 생성 과정을 설명합니다. 예: 수집 날짜, 위치, 수집 장비"
기후,"데이터가 수집된 환경의 기후 조건과 관련된 정보를 제공합니다. 예: 온도, 습도, 날씨 상태"
장비정보,"데이터 수집에 사용된 장비 또는 센서 정보를 포함합니다. 예: 카메라 모델, 센서 사양"
가공정보,"데이터 가공 및 처리에 대한 정보를 포함하며, 전처리 과정과 가공된 결과를 설명합니다. 예: 노이즈 제거, 크기 조정"
로봇정보,"로봇과 관련된 정보를 포함하며, 로봇의 상태 및 작업 내용을 설명합니다. 예: 로봇 ID, 동작 상태"
카메라정보,"카메라 관련 정보 및 파라미터를 포함하며, 데이터 수집에 사용된 카메라 설정을 설명합니다. 예: 초점 거리, 노출 시간"
클래스,"클래스 관련 정보와 특성을 포함하며, 데이터의 분류 체계를 설명합니다. 예: 클래스 ID, 상위 클래스"
비디오정보,"비디오 및 동영상 데이터와 관련된 정보를 포함합니다. 예: 프레임 수, 재생 시간"
고객정보,"고객 및 사용자 정보를 포함하며, 데이터 활용의 대상을 설명합니다. 예: 사용자 ID, 고객 세그먼트"
행동정보,"사용자 또는 로봇의 행동 및 반응 정보를 포함하며, 데이터의 행동 패턴을 설명합니다. 예: 이동 경로, 반응 속도"
인터랙션,"인터랙션 정보 및 상태를 포함하며, 객체 간 상호작용을 설명합니다. 예: 충돌 여부, 상호작용 시간"
상태정보,"상태 및 상태와 관련된 정보를 포함하며, 데이터 객체의 현재 상태를 설명합니다. 예: 작동 여부, 활성화 상태"
데이터정보,"일반 데이터 및 메타 정보와 관련된 내용을 포함합니다. 예: 데이터 세트 이름, 전체 데이터 개요"
파일정보,"파일과 관련된 정보를 포함하며, 데이터 파일의 속성을 설명합니다. 예: 파일 크기, 확장자"
기타,"기타 다양한 정보 및 속성을 포함하며, 위의 카테고리에 속하지 않는 데이터를 설명합니다. 예: 사용자 정의 속성"
